record_id,title,doi,url,year,venue,source_db,abstract
1,"Estimated Research and Development Investment Needed to Bring a New Medicine to Market, 2009-2018",10.1001/jama.2020.1166,https://openalex.org/W3009999522,2020,JAMA,openalex,"IMPORTANCE: The mean cost of developing a new drug has been the subject of debate, with recent estimates ranging from $314 million to $2.8 billion. OBJECTIVE: To estimate the research and development investment required to bring a new therapeutic agent to market, using publicly available data. DESIGN AND SETTING: Data were analyzed on new therapeutic agents approved by the US Food and Drug Administration (FDA) between 2009 and 2018 to estimate the research and development expenditure required to bring a new medicine to market. Data were accessed from the US Securities and Exchange Commission, Drugs@FDA database, and ClinicalTrials.gov, alongside published data on clinical trial success rates. EXPOSURES: Conduct of preclinical and clinical studies of new therapeutic agents. MAIN OUTCOMES AND MEASURES: Median and mean research and development spending on new therapeutic agents approved by the FDA, capitalized at a real cost of capital rate (the required rate of return for an investor) of 10.5% per year, with bootstrapped CIs. All amounts were reported in 2018 US dollars. RESULTS: The FDA approved 355 new drugs and biologics over the study period. Research and development expenditures were available for 63 (18%) products, developed by 47 different companies. After accounting for the costs of failed trials, the median capitalized research and development investment to bring a new drug to market was estimated at $985.3 million (95% CI, $683.6 million-$1228.9 million), and the mean investment was estimated at $1335.9 million (95% CI, $1042.5 million-$1637.5 million) in the base case analysis. Median estimates by therapeutic area (for areas with ≥5 drugs) ranged from $765.9 million (95% CI, $323.0 million-$1473.5 million) for nervous system agents to $2771.6 million (95% CI, $2051.8 million-$5366.2 million) for antineoplastic and immunomodulating agents. Data were mainly accessible for smaller firms, orphan drugs, products in certain therapeutic areas, first-in-class drugs, therapeutic agents that received accelerated approval, and products approved between 2014 and 2018. Results varied in sensitivity analyses using different estimates of clinical trial success rates, preclinical expenditures, and cost of capital. CONCLUSIONS AND RELEVANCE: This study provides an estimate of research and development costs for new therapeutic agents based on publicly available data. Differences from previous studies may reflect the spectrum of products analyzed, the restricted availability of data in the public domain, and differences in underlying assumptions in the cost calculations."
2,Enhanced SDN Security Using Mobile Agent,10.1002/9781394272303.ch3,https://ieeexplore.ieee.org/document/10666478/,2024,Creative Approaches Towards Development of Computing and Multidisciplinary IT Solutions for Society,ieee,"Summary <p>In the next&#x2010;generation trend, Software&#x2010;Defined Networking (SDN) is a revolutionary paradigm of network technology that enables advanced network features such as centralized network flow and programmability to facilitate network deployment which is more adaptable, scalable, controllable, and cost&#x2010;effective. The deployment of SDN in production networks is still a goal, and much work remains in SDN security for this vision to become a reality.</p> <p>This study introduces SDN security by exploiting SDN capabilities to improve security and pursue a safer SDN architecture. In addition to emerging technologies, such as machine learning algorithms, cloud services, and virtualized network functions. A Mobile Agent is a promising technology for network security, with the ability to reduce latency and network traffic, execute directly on a destination computer, and dynamically deploy both code and data. The implementation of a Mobile Agent for the networking methodology is an approach that dramatically improves the security of SDN.</p>"
3,Surface Modification of a MXene by an Aminosilane Coupling Agent,10.1002/admi.201902008,https://openalex.org/W3003790969,2020,Advanced Materials Interfaces,openalex,"Abstract MXenes, two‐dimensional (2D) transition metal carbides and/or nitrides, possess surface termination groups such as hydroxyl, oxygen, and fluorine, which are available for surface functionalization. Their surface chemistry is critical in many applications. This article reports amine functionalization of Ti 3 C 2 T x MXene surface with [3‐(2‐aminoethylamino)‐propyl]trimethoxysilane (AEAPTMS). Characterization techniques such as X‐ray photoelectron spectroscopy verify the success of the surface functionalization and confirm that the silane coupling agent bonds to Ti 3 C 2 T x surface both physically and chemically. The functionalization changes the MXene surface charge from −35 to +25 mV at neutral pH, which allows for in situ preparation of self‐assembled films. Further, surface charge measurements of the functionalized MXene at different pH values show that the functionalized MXene has an isoelectric point at a pH around 10.7, and the highest reported positive surface charge of +62 mV at a pH of 2.58. Furthermore, the existence of a mixture of different orientations of AEAPTMS and the simultaneous presence of protonated and free amine groups on the surface of Ti 3 C 2 T x are demonstrated. The availability of free amine groups on the surface potentially permits the fabrication of crosslinked electrically conductive MXene/epoxy composites, dye adsorbents, high‐performance membranes, and drug carriers. Surface modifications of this type are applicable to many other MXenes."
4,Polymeric Hydrogels—A Promising Platform in Enhancing Water Security for a Sustainable Future,10.1002/admi.202100580,https://openalex.org/W3212122138,2021,Advanced Materials Interfaces,openalex,"Abstract Although water is essential for global health and the socio‐economic development of modern society, providing fresh water universally in a sustainable and affordable manner, for both developing and industrialized communities, is challenging. Polymeric hydrogels have recently drawn increasing interest as promising material platforms to sustainably enhance global water security. This review aims to provide a consolidated overview of polymeric hydrogels as an enabling agent in various water treatment technologies. First, a summary of the different approaches for the preparation of hydrogels with tailored chemistry, morphology, structure, and functions that enable the multifaceted requirements of different water technologies to be met is presented. Then, a set of properties unique to hydrogels, which gives them competitive advantages compared to other materials in the context of water treatment, is presented and discussed. This is followed by a comprehensive review of the applications of hydrogels in different water technologies. Their performance is correlated to their unique properties in order to gain an in‐depth mechanistic understanding of how hydrogels can lead to impressive performance and technological innovation. The authors conclude with some proposed solutions and recommendations for prospective research directions to address the remaining challenges specific to each hydrogel‐enabled water technology."
5,Engineering Robust Ag‐Decorated Polydopamine Nano‐Photothermal Platforms to Combat Bacterial Infection and Prompt Wound Healing,10.1002/advs.202106015,https://openalex.org/W4212772261,2022,Advanced Science,openalex,"Polydopamine (PDA) nanoparticles have emerged as an attractive biomimetic photothermal agent in photothermal antibacterial therapy due to their ease of synthesis, good biodegradability, long-term safety, and excellent photostability. However, the therapeutic effects of PDA nanoparticles are generally limited by the low photothermal conversion efficiency (PCE). Herein, PDA@Ag nanoparticles are synthesized via growing Ag on the surface of PDA nanoparticles and then encapsulated into a cationic guar gum (CG) hydrogel network. The optimized CG/PDA@Ag platform exhibits a high PCE (38.2%), which is more than two times higher than that of pure PDA (16.6%). More importantly, the formulated CG/PDA@Ag hydrogel with many active groups can capture and kill bacteria through effective interactions between hydrogel and bacteria, thereby benefiting the antibacterial effect. As anticipated, the designed CG/PDA@Ag system combined the advantages of PDA@Ag nanoparticles (high PCE) and hydrogel (preventing aggregation of PDA@Ag nanoparticles and possessing inherent antibacterial ability) is demonstrated to have superior antibacterial efficacy both in vitro and in vivo. This study develops a facile approach to boost the PCE of PDA for photothermal antibacterial therapy, providing a significant step forward in advancing the application of PDA nano-photothermal agents."
6,An AI Agent for Fully Automated Multi‐Omic Analyses,10.1002/advs.202407094,https://openalex.org/W4403099947,2024,Advanced Science,openalex,"With the fast-growing and evolving omics data, the demand for streamlined and adaptable tools to handle bioinformatics analysis continues to grow. In response to this need, Automated Bioinformatics Analysis (AutoBA) is introduced, an autonomous AI agent designed explicitly for fully automated multi-omic analyses based on large language models (LLMs). AutoBA simplifies the analytical process by requiring minimal user input while delivering detailed step-by-step plans for various bioinformatics tasks. AutoBA's unique capacity to self-design analysis processes based on input data variations further underscores its versatility. Compared with online bioinformatic services, AutoBA offers multiple LLM backends, with options for both online and local usage, prioritizing data security and user privacy. In comparison to ChatGPT and open-source LLMs, an automated code repair (ACR) mechanism in AutoBA is designed to improve its stability in automated end-to-end bioinformatics analysis tasks. Moreover, different from the predefined pipeline, AutoBA has adaptability in sync with emerging bioinformatics tools. Overall, AutoBA represents an advanced and convenient tool, offering robustness and adaptability for conventional multi-omic analyses."
9,Supramolecular Sensing of Chemical Warfare Agents,10.1002/cplu.202100071,https://openalex.org/W3145634185,2021,ChemPlusChem,openalex,"Chemical warfare agents are a class of organic molecules used as chemical weapons due to their high toxicity and lethal effects. For this reason, the fast detection of these compounds in the environment is crucial. Traditional detection methods are based on instrumental techniques, such as mass spectrometry or HPLC, however the use of molecular sensors able to change a detectable property (e. g., luminescence, color, electrical resistance) can be cheaper and faster. Today, molecular sensing of chemical warfare agents is mainly based on the ""covalent approach"", in which the sensor reacts with the analyte, or on the ""supramolecular approach"", which involves the formation of non-covalent interactions between the sensor and the analyte. This Review is focused on the recent developments of supramolecular sensors of organophosphorus chemical warfare agents (from 2013). In particular, supramolecular sensors are classified by function of the sensing mechanism: i) Lewis Acids, ii) hydrogen bonds, iii) macrocyclic hosts, iv) multi-topic sensors, v) nanosensors. It is shown how the supramolecular non-covalent approach leads to a reversible sensing and higher selectivity towards the selected analyte respect to other interfering molecules."
10,Carbon Dots A Bright Future as Anticounterfeiting Encoding Agents,10.1002/smll.202311526,https://openalex.org/W4392132990,2024,Small,openalex,"Counterfeit products and data vulnerability present significant challenges in contemporary society. Hence, various methods and technologies are explored for anticounterfeiting encoding, with luminescent tracers, particularly luminescent carbon dots (CDs), emerging as a notable solution. CDs offer promising contributions to product security, environmental sustainability, and the circular economy. This critical review aims to highlight the luminescence responsiveness of CDs to physical and chemical stimuli, achieved through nanoengineering their chemical structure. The discussion will delve into the various tunable luminescence mechanisms and decay times of CDs, investigating preferential excitations such as up-conversion, delayed fluorescence, fluorescence, room temperature phosphorescence, persistent luminescence, energy and charge transfer, as well as photo-chemical interactions. These insights are crucial for advancing anticounterfeiting solutions. Following this exploration, a systematic review will focus on the research of luminescent CDs' smart encoding applications, encompassing anticounterfeiting, product tracing, quality certification, and information encryption. Finally, the review will address key challenges in implementing CDs-based technology, providing specific insights into strategies aimed at maximizing their stability and efficacy in anticounterfeiting encoding applications."
11,Sanitizing agents for virus inactivation and disinfection,10.1002/viw2.16,https://openalex.org/W3028391983,2020,Open Research (University of Surrey),openalex,"Viral epidemics develop from the emergence of new variants of infectious viruses. The lack of effective antiviral treatments for the new viral infections coupled with rapid community spread of the infection often result in major human and financial loss. Viral transmissions can occur via close human-to-human contact or via contacting a contaminated surface. Thus, careful disinfection or sanitization is essential to curtail viral spread. A myriad of disinfectants/sanitizing agents/biocidal agents are available that can inactivate viruses, but their effectiveness is dependent upon many factors such as concentration of agent, reaction time, temperature, and organic load. In this work, we review common commercially available disinfectants agents available on the market and evaluate their effectiveness under various application conditions. In addition, this work also seeks to debunk common myths about viral inactivation and highlight new exciting advances in the development of potential sanitizing agents."
12,Explainable Agents for Less Bias in Human-Agent Decision Making,10.1007/978-3-030-51924-7_8,https://openalex.org/W3041306121,2020,Lecture notes in computer science,openalex,
